"ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","X","Y"
"39194","8600000US39194","39194","1171552812","24542157",-90.4874028220,32.8361422780
"65470","8600000US65470","65470","275871996","1483682",-92.4001367160,37.5442805570
"65536","8600000US65536","65536","1052138247","5347205",-92.6457231760,37.6862278560
"65664","8600000US65664","65664","2013253","4901",-93.6172445100,37.1973321160
"63630","8600000US63630","63630","172607416","729151",-90.7272219490,38.0182532660
"63501","8600000US63501","63501","532138490","3219147",-92.5903306160,40.1672733390
"59037","8600000US59037","59037","487477040","2272795",-108.2128109000,45.8062717590
"59070","8600000US59070","59070","407263762","2861352",-109.1841756300,45.3690631710
"59645","8600000US59645","59645","-2147483648","3866799",-111.0471598600,46.6804355200
"59851","8600000US59851","59851","558385","61896",-113.8779538200,46.8708425080
"59831","8600000US59831","59831","281134792","2978579",-114.3527773000,47.2775064770
"59032","8600000US59032","59032","1093484575","1651942",-108.7443308700,47.0227083350
"59347","8600000US59347","59347","-2147483648","13544770",-106.3520604500,46.4352217900
"69361","8600000US69361","69361","296069642","4215323",-103.6216712800,41.9245981750
"69301","8600000US69301","69301","-2147483648","28121729",-102.8831446000,42.1205297270
"68372","8600000US68372","68372","93088817","2392041",-96.6035300820,40.6081285850
"89815","8600000US89815","89815","1630409133","4481198",-115.5956324000,40.6171479660
"89045","8600000US89045","89045","-2147483648","6775830",-116.9521784800,38.8784154560
"89418","8600000US89418","89418","703568333","0",-118.0343793200,40.5484446230
"03835","8600000US03835","03835","94923705","911535",-71.0760736420,43.3627501570
"07423","8600000US07423","07423","4508458","31250",-74.0972244550,41.0000886870
"88005","8600000US88005","88005","127501088","398656",-106.8218290900,32.2581294230
"87747","8600000US87747","87747","1884138042","5023042",-104.4630778600,36.3665824110
"88339","8600000US88339","88339","1163131201","813656",-105.2542360200,32.9350832590
"87511","8600000US87511","87511","143240508","187554",-105.9258051400,36.1022673250
"12901","8600000US12901","12901","196747484","1925075",-73.4738249100,44.7038650660
"10035","8600000US10035","10035","3689135","0",-73.9296842670,40.7955078830
"13316","8600000US13316","13316","420190756","717952",-75.7426160120,43.4095054520
"11021","8600000US11021","11021","6054308","92751",-73.7289781970,40.7864576880
"11751","8600000US11751","11751","10406356","1614890",-73.2142585620,40.7299625670
"13113","8600000US13113","13113","1345153","0",-76.5383786350,43.1627249090
"10522","8600000US10522","10522","6291702","1772",-73.8647883900,41.0122621340
"10471","8600000US10471","10471","6656340","28258",-73.9018156710,40.8994881700
"10167","8600000US10167","10167","12396","0",-73.9749517960,40.7547876430
"12872","8600000US12872","12872","789016","0",-73.7299611450,43.8771672000
"28504","8600000US28504","28504","320560581","1672189",-77.6353891430,35.2249548230
"28327","8600000US28327","28327","493199470","3445366",-79.4230756330,35.3563769090
"27825","8600000US27825","27825","1214386","0",-77.1744356010,35.8328187300
"28742","8600000US28742","28742","63406505","483538",-82.6247418060,35.3758571070
"28713","8600000US28713","28713","353075576","11825157",-83.5025479640,35.3693457240
"58204","8600000US58204","58204","20644051","0",-97.3868072000,47.9549692860
"58452","8600000US58452","58452","4189432","0",-98.2312253560,47.5477632580
"45656","8600000US45656","45656","336763173","1230490",-82.5925607160,38.8758721730
"45433","8600000US45433","45433","28303861","864179",-84.0583434020,39.8125591100
"43433","8600000US43433","43433","1296346","0",-82.8803261780,41.5047018170
"44212","8600000US44212","44212","56085380","95848",-81.8295086710,41.2434168380
"43070","8600000US43070","43070","395485","0",-83.9579153350,40.2157662940
"43620","8600000US43620","43620","2829174","0",-83.5544925480,41.6652288130
"45819","8600000US45819","45819","666847","0",-84.2604118340,40.6240235810
"43467","8600000US43467","43467","898187","0",-83.4838224300,41.2432143430
"74728","8600000US74728","74728","1026460831","32648511",-94.8017071910,34.1534197130
"74560","8600000US74560","74560","560961781","2387076",-95.7454911830,34.6469138020
"73019","8600000US73019","73019","505497","0",-97.4435479890,35.2059886040
"97041","8600000US97041","97041","299234923","87117",-121.6198831400,45.4396761790
"97874","8600000US97874","97874","593335013","0",-119.8674380200,44.7775406000
"97906","8600000US97906","97906","-2147483648","792608",-117.7734505000,43.5261204320
"97470","8600000US97470","97470","447936117","3946397",-123.2343249500,43.2297348940
"97343","8600000US97343","97343","390513134","86579",-123.7433700100,44.5584980320
"97412","8600000US97412","97412","219487880","1299304",-123.5609130900,44.1959736620
"97438","8600000US97438","97438","269029516","7793007",-122.6883831400,43.9508814600
"97884","8600000US97884","97884","206023219","4010387",-118.2182136300,44.4564508850
"15370","8600000US15370","15370","383390568","160258",-80.1756413610,39.8757793710
"16652","8600000US16652","16652","457911662","10494041",-77.9568594200,40.5147224130
"19519","8600000US19519","19519","313141","14487",-75.7333768940,40.3202868540
"17840","8600000US17840","17840","6451857","0",-76.4331319000,40.7720803310
"15778","8600000US15778","15778","2354800","3151",-79.1973524550,40.9675538520
