"City","State","Zip","Country","County","FIPS","x","y"
"Lexington","KY","40504","US","Fayette","","-84.60625787716839","37.96911124777374"
"Fort Myers","FL","33919","US","Lee","","-81.9033564750","26.5567078150"
"Warm Springs","VA","24484","US","Bath","","-79.8206713430","38.1437616860"
"Richmond","CA","94804","US","Contra Costa","","-122.3415461400","37.9208803140"
"Dutch Harbor","AK","99692","US","Aleutians West","","-166.5386420200","53.8855321070"
"Slidell","LA","70458","US","Saint Tammany","","-89.7944049700","30.2586634560"
"Willemstad, Curaçao","","5999","AN","","??","0","0"
"Lexington","KY","40513","US","Fayette","","-84.6064140640","38.0159428010"
"Lexington","KY","40505","US","Fayette","","-84.4569201880","38.0599468430"
"Baton Rouge","LA","70808","US","East Baton Rouge","","-91.1425446990","30.4056560590"
"Lexington","KY","40503","US","Fayette","","-84.52199750251239","38.035644791337624"
"Richmond","KY","40475","US","Madison","","-84.27561648930677","37.8504843300415"
"Brooklyn","NY","11215","US","Kings","","-73.9867818210","40.6626002820"
"Orangebury","NY","10962","US","Rockland","","-73.9591268580","41.0490631280"
"Versailles","KY","40383","US","Woodford","","-84.6906182814858","37.951453412478116"
"Lexington","KY","40515","US","Fayette","","-84.31771725684479","38.00605157543249"
"Champaign","IL","61821","US","Champaign","","-88.2750223950","40.1096293010"
"Lexington","KY","40517","US","Fayette","","-84.4883303130","37.9838554620"
"Louisville","KY","40204","US","Jefferson","","-85.7208367010","38.2391800340"
"Aurora","IL","60502","US","DuPage","","-88.2590905420","41.7921095290"
"Versailles","KY","40383","US","Woodford","","-84.78158214643793","37.91316082193788"
"Indianapolis","IN","46237","US","Marion","","-86.0756969510","39.6729311200"
"Austin","TX","78746","US","Travis","","-97.8105295650","30.2972830840"
"Georgetown","KY","40324","US","Scott","","-84.47223412037812","38.223698816725715"
"Lexington","KY","40517","US","Fayette","","-84.57113769855295","37.896169154745785"
"Robinson","IL","62454","US","Crawford","","-87.7580016990","38.9986589880"
"San Pedro","CA","90732","US","Los Angeles","","-118.3101205200","33.7450685960"
"Lexington","KY","40508","US","Fayette","","-84.432507898131","38.054677887820695"
"Atlanta","GA","30324","US","Fulton","","-84.3570766440","33.8196152280"
"Springfield","IL","62704","US","Sangamon","","-89.6851466920","39.7739971560"
"West Hartford","CT","06119","US","Hartford","","-72.7272081990","41.7633983290"
"johnson city","TN","37601","US","Washington","","-82.3214504550","36.3302836110"
"League City","TX","77573","US","Galveston","","-95.0864687500","29.5020807530"
"Round Lake Park","IL","60073","US","Lake","","-88.1098310410","42.3481288130"
"Miami","FL","33180","US","Miami-Dade","","-80.1420388960","25.9607174420"
"Charles Town","WV","25414","US","Jefferson","","-77.8689548090","39.2510657190"
"Yuma","AZ","85365","US","Yuma","","-114.1504225600","33.0787288410"
"Lexington","WA","40507","US","Fayette","","-84.4964047080","38.0469883680"
"Lexington","KY","40504","US","Fayette","","-84.54514232896264","38.13291851998901"
"Nicholasville","KY","40356","US","Jessamine","","-84.5644684070","37.8730081700"
"Lexington","KY","40502","US","Fayette","","-84.42598265183652","37.92230172568698"
"Collingswood","NJ","08108","US","Camden","","-75.0617959630","39.9143119460"
"Lexington","KY","40502","US","Fayette","","-84.52939542028584","38.07914507376369"
