"SOV_A3","ADMIN","GU_A3","X","Y"
"CNM","Cyprus No Mans Area","CNM",33.2574788370,35.1019756520
"KAS","Siachen Glacier","KAS",77.1800282840,35.3911141050
"KAZ","Baykonur Cosmodrome","KAB",63.3838970020,45.9783301380
"GB1","Akrotiri Sovereign Base Area","WSB",32.9338047670,34.6319151230
"ATA","Antarctica","ATA",19.9069821180,-80.5081189230
"AU1","Australia","AUS",134.4911670800,-25.7322723600
"DN1","Greenland","GRL",-41.3456512350,74.7357332550
"FJI","Fiji","FJI",163.3366002700,-17.4475483030
"NZ1","New Zealand","NZL",171.4662878900,-41.8292674720
"FR1","New Caledonia","NCL",165.7029158900,-21.3042846950
"MDG","Madagascar","MDG",46.7060432880,-19.3730200890
"PHL","Philippines","PHL",122.8743219300,11.7627403130
"LKA","Sri Lanka","LKA",80.7031259830,7.6161214955
"NL1","Cura??ao","CUW",-68.9713164210,12.1938349080
"NL1","Aruba","ABW",-69.9741999300,12.5169289940
"BHS","The Bahamas","BHS",-76.5504076370,24.2229899630
"GB1","Turks and Caicos Islands","TCA",-71.8732851150,21.7796850240
"TWN","Taiwan","TWN",120.9497890000,23.7529476580
"JPN","Japan","JPN",137.9773628000,37.5504055870
"FR1","Saint Pierre and Miquelon","SPM",-56.3077802820,46.9304444060
"ISL","Iceland","ISL",-18.5969649370,64.9984010830
"GB1","Pitcairn Islands","PCN",-128.4787604600,-24.4136878560
"FR1","French Polynesia","PYF",-145.0437165600,-15.1956694520
"FR1","French Southern and Antarctic Lands","ATF",68.9904270260,-49.0632980000
"SYC","Seychelles","SYC",52.0637150430,-6.4899842040
"KIR","Kiribati","KIR",-50.4288404250,0.6078138981
"MHL","Marshall Islands","MHL",170.0976842500,7.1167523581
"TTO","Trinidad and Tobago","TTO",-61.2584304200,10.4689387750
"GRD","Grenada","GRD",-61.6565496860,12.1535917830
"VCT","Saint Vincent and the Grenadines","VCT",-61.2034876420,13.2156383640
"BRB","Barbados","BRB",-59.5612168870,13.1810672070
"LCA","Saint Lucia","LCA",-60.9703102060,13.9026806220
"DMA","Dominica","DMA",-61.3569313750,15.4364339280
"US1","United States Minor Outlying Islands","UMI",-103.5136947100,13.2929235360
"GB1","Montserrat","MSR",-62.1873958990,16.7375456020
"ATG","Antigua and Barbuda","ATG",-61.7917456490,17.2846441250
"KNA","Saint Kitts and Nevis","KNA",-62.6984972370,17.2710072990
"US1","United States Virgin Islands","VIR",-64.7976681020,17.9810022410
"FR1","Saint Barthelemy","BLM",-62.8326164200,17.9056009720
"US1","Puerto Rico","PRI",-66.4675071840,18.2238081170
"GB1","Anguilla","AIA",-63.0587573330,18.2257674050
"GB1","British Virgin Islands","VGB",-64.5028923410,18.5098399200
"JAM","Jamaica","JAM",-77.3187687130,18.1552002240
"GB1","Cayman Islands","CYM",-80.8759564510,19.4266788150
"GB1","Bermuda","BMU",-64.7636766090,32.3100785530
"AU1","Heard Island and McDonald Islands","HMD",73.5052082870,-53.0887828970
"GB1","Saint Helena","SHN",-10.1394325420,-24.9127682110
"MUS","Mauritius","MUS",57.8505481860,-20.1844219580
"COM","Comoros","COM",43.6804041630,-11.8844210610
"STP","S??o Tom?? and Principe","STP",6.7267294974,0.4447464382
"CPV","Cabo Verde","CPV",-23.9672310880,15.9362952860
